iter	Passed	Remaining
819	5274	7590
820	5280	7583
821	5286	7576
822	5293	7570
823	5299	7563
824	5305	7556
825	5311	7549
826	5318	7543
827	5324	7537
828	5331	7530
829	5337	7523
830	5343	7516
831	5349	7509
832	5355	7502
833	5361	7496
834	5368	7489
835	5374	7482
836	5380	7476
837	5386	7469
838	5392	7462
839	5398	7455
840	5405	7449
841	5411	7442
842	5417	7435
843	5423	7428
844	5429	7422
845	5436	7415
846	5442	7409
847	5449	7402
848	5455	7396
849	5471	7402
850	5486	7407
851	5500	7411
852	5515	7416
853	5527	7417
854	5535	7412
855	5541	7406
856	5547	7399
857	5554	7392
858	5560	7386
859	5566	7379
860	5573	7372
861	5579	7365
862	5585	7359
863	5592	7352
864	5598	7346
865	5604	7339
866	5611	7332
867	5618	7327
868	5625	7321
869	5632	7315
870	5639	7309
871	5646	7303
872	5653	7297
873	5660	7292
874	5667	7287
875	5674	7281
876	5682	7275
877	5689	7270
878	5696	7264
879	5703	7258
880	5710	7252
881	5717	7247
882	5724	7241
883	5731	7235
884	5738	7229
885	5745	7224
886	5752	7218
887	5760	7213
888	5767	7207
889	5773	7201
890	5779	7193
891	5785	7186
892	5791	7179
893	5798	7173
894	5804	7166
895	5810	7159
896	5816	7152
897	5823	7146
898	5829	7139
899	5835	7132
900	5841	7125
901	5847	7118
902	5854	7111
903	5860	7105
904	5866	7098
905	5872	7091
906	5879	7084
907	5885	7078
908	5891	7071
909	5897	7064
910	5904	7057
911	5910	7051
912	5916	7043
913	5922	7037
914	5928	7030
915	5935	7023
916	5941	7016
917	5947	7010
918	5953	7003
919	5960	6996
920	5966	6989
921	5972	6983
922	5979	6976
923	5985	6969
924	5991	6962
925	5997	6955
926	6003	6949
927	6009	6942
928	6016	6935
929	6022	6929
930	6028	6922
931	6034	6915
932	6041	6908
933	6047	6901
934	6053	6895
935	6059	6888
936	6065	6881
937	6072	6874
938	6078	6867
939	6084	6861
940	6090	6854
941	6097	6847
942	6103	6841
943	6109	6834
944	6115	6827
945	6121	6820
946	6127	6813
947	6133	6806
948	6139	6799
949	6146	6793
950	6153	6787
951	6159	6780
952	6166	6774
953	6172	6767
954	6178	6761
955	6185	6754
956	6191	6747
957	6197	6740
958	6203	6734
959	6210	6727
960	6216	6721
961	6222	6714
962	6229	6707
963	6235	6701
964	6241	6694
965	6248	6688
966	6254	6681
967	6261	6674
968	6267	6668
969	6273	6661
970	6280	6655
971	6286	6648
972	6292	6641
973	6298	6635
974	6305	6628
975	6311	6621
976	6318	6615
977	6324	6609
978	6330	6602
979	6337	6596
980	6343	6589
981	6349	6582
982	6356	6576
983	6362	6569
984	6368	6562
985	6374	6555
986	6381	6549
987	6387	6542
988	6393	6535
989	6399	6529
990	6405	6522
991	6412	6516
992	6419	6509
993	6425	6502
994	6431	6496
995	6437	6489
996	6444	6482
997	6450	6476
998	6456	6469
999	6462	6462
1000	6469	6456
1001	6476	6450
1002	6482	6443
1003	6488	6437
1004	6495	6430
1005	6502	6425
1006	6509	6419
1007	6517	6413
1008	6524	6407
1009	6531	6402
1010	6539	6396
1011	6546	6390
1012	6553	6385
1013	6560	6379
1014	6568	6373
1015	6574	6367
1016	6582	6362
1017	6589	6356
1018	6596	6350
1019	6604	6345
1020	6611	6339
1021	6618	6333
1022	6626	6328
1023	6633	6322
1024	6640	6316
1025	6647	6310
1026	6654	6304
1027	6661	6298
1028	6667	6292
1029	6674	6285
1030	6680	6278
1031	6686	6271
1032	6692	6265
1033	6699	6258
1034	6705	6251
1035	6711	6245
1036	6718	6238
1037	6724	6232
1038	6730	6225
1039	6737	6219
1040	6743	6212
1041	6750	6206
1042	6756	6199
1043	6762	6192
1044	6769	6186
1045	6775	6179
1046	6781	6172
1047	6787	6165
1048	6794	6159
1049	6800	6152
1050	6806	6146
1051	6813	6139
1052	6819	6133
1053	6826	6127
1054	6833	6121
1055	6840	6114
1056	6846	6108
1057	6852	6101
1058	6859	6094
1059	6865	6088
1060	6871	6081
1061	6878	6075
1062	6885	6068
1063	6891	6062
1064	6897	6055
1065	6904	6049
1066	6910	6042
1067	6916	6035
1068	6922	6029
1069	6929	6022
1070	6935	6015
1071	6941	6009
1072	6948	6002
1073	6954	5996
1074	6960	5989
1075	6967	5983
1076	6973	5976
1077	6980	5969
1078	6986	5963
1079	6992	5956
1080	6999	5950
1081	7005	5943
1082	7012	5937
1083	7018	5930
1084	7024	5924
1085	7031	5917
1086	7037	5911
1087	7043	5904
1088	7050	5897
1089	7056	5891
1090	7063	5885
1091	7069	5878
1092	7076	5872
1093	7082	5865
1094	7088	5858
1095	7095	5852
1096	7101	5845
1097	7107	5839
1098	7114	5832
1099	7120	5826
1100	7127	5819
1101	7133	5812
1102	7139	5806
1103	7146	5799
1104	7152	5793
1105	7158	5786
1106	7165	5780
1107	7171	5773
1108	7177	5766
1109	7184	5760
1110	7190	5753
1111	7196	5747
1112	7202	5740
1113	7209	5733
1114	7215	5727
1115	7222	5720
1116	7228	5714
1117	7235	5707
1118	7241	5701
1119	7248	5694
1120	7254	5688
1121	7261	5682
1122	7268	5676
1123	7274	5669
1124	7281	5663
1125	7289	5657
1126	7295	5651
1127	7301	5644
1128	7308	5638
1129	7314	5631
1130	7320	5624
1131	7327	5618
1132	7333	5611
1133	7339	5605
1134	7346	5598
1135	7352	5592
1136	7359	5585
1137	7365	5579
1138	7371	5572
1139	7378	5566
1140	7384	5559
1141	7391	5552
1142	7397	5546
1143	7403	5539
1144	7409	5533
1145	7416	5526
1146	7422	5519
1147	7429	5513
1148	7435	5506
1149	7441	5500
1150	7447	5493
1151	7453	5486
1152	7460	5480
1153	7466	5473
1154	7473	5467
1155	7479	5461
1156	7486	5454
1157	7492	5448
1158	7499	5441
1159	7505	5435
1160	7512	5428
1161	7518	5422
1162	7524	5415
1163	7530	5408
1164	7537	5402
1165	7543	5395
1166	7550	5389
1167	7557	5383
1168	7564	5377
1169	7572	5371
1170	7580	5366
1171	7587	5360
1172	7594	5354
1173	7602	5348
1174	7609	5343
1175	7616	5336
1176	7624	5331
1177	7631	5325
1178	7639	5319
1179	7647	5314
1180	7654	5308
1181	7662	5302
1182	7669	5296
1183	7676	5290
1184	7684	5284
1185	7691	5279
1186	7698	5273
1187	7705	5266
1188	7711	5259
1189	7717	5253
1190	7724	5246
1191	7730	5240
1192	7736	5233
1193	7742	5226
1194	7749	5220
1195	7755	5213
1196	7761	5206
1197	7767	5200
1198	7774	5193
1199	7780	5187
1200	7787	5180
1201	7793	5173
1202	7799	5167
1203	7806	5160
1204	7812	5154
1205	7819	5147
1206	7825	5141
1207	7832	5134
1208	7838	5128
1209	7844	5121
1210	7851	5115
1211	7857	5108
1212	7864	5102
1213	7871	5096
1214	7878	5090
1215	7886	5084
1216	7893	5078
1217	7900	5072
1218	7908	5066
1219	7915	5060
1220	7923	5055
1221	7930	5049
1222	7938	5043
1223	7945	5037
1224	7953	5031
1225	7960	5025
1226	7967	5019
1227	7975	5013
1228	7982	5007
1229	7990	5002
1230	7997	4996
1231	8005	4990
1232	8012	4984
1233	8020	4978
1234	8026	4972
1235	8032	4965
1236	8039	4958
1237	8045	4951
1238	8051	4945
1239	8058	4938
1240	8064	4932
1241	8070	4925
1242	8076	4918
1243	8082	4912
1244	8088	4905
1245	8095	4898
1246	8101	4892
1247	8108	4885
1248	8114	4879
1249	8120	4872
1250	8127	4866
1251	8133	4859
1252	8140	4852
1253	8146	4846
1254	8153	4840
1255	8159	4833
1256	8166	4826
1257	8172	4820
1258	8178	4813
1259	8185	4807
1260	8191	4800
1261	8197	4794
1262	8204	4787
1263	8210	4780
1264	8217	4774
1265	8223	4767
1266	8230	4761
1267	8236	4754
1268	8242	4748
1269	8249	4741
1270	8256	4735
1271	8262	4729
1272	8269	4722
1273	8275	4715
1274	8282	4709
1275	8288	4702
1276	8294	4696
1277	8301	4689
1278	8307	4683
1279	8313	4676
1280	8320	4670
1281	8326	4663
1282	8333	4657
1283	8339	4650
1284	8345	4643
1285	8352	4637
1286	8358	4630
1287	8364	4624
1288	8371	4617
1289	8377	4611
1290	8384	4604
1291	8390	4597
1292	8396	4591
1293	8403	4584
1294	8409	4578
1295	8415	4571
1296	8421	4564
1297	8428	4558
1298	8434	4551
1299	8440	4545
1300	8446	4538
1301	8453	4531
1302	8459	4525
1303	8466	4518
1304	8472	4512
1305	8478	4505
1306	8485	4499
1307	8491	4492
1308	8497	4485
1309	8503	4479
1310	8510	4472
1311	8516	4466
1312	8523	4459
1313	8529	4452
1314	8536	4446
1315	8542	4440
1316	8549	4433
1317	8555	4427
1318	8561	4420
1319	8568	4414
1320	8574	4407
1321	8581	4401
1322	8587	4394
1323	8594	4388
1324	8600	4381
1325	8607	4375
1326	8613	4368
1327	8619	4361
1328	8625	4355
1329	8632	4348
1330	8638	4341
1331	8644	4335
1332	8651	4328
1333	8657	4322
1334	8664	4315
1335	8670	4309
1336	8676	4302
1337	8682	4296
1338	8689	4289
1339	8696	4283
1340	8702	4276
1341	8708	4270
1342	8715	4263
1343	8721	4256
1344	8728	4250
1345	8734	4243
1346	8741	4237
1347	8747	4230
1348	8753	4224
1349	8759	4217
1350	8766	4211
1351	8772	4204
1352	8778	4198
1353	8785	4191
1354	8791	4184
1355	8797	4178
1356	8804	4171
1357	8810	4165
1358	8817	4158
1359	8823	4152
1360	8830	4145
1361	8836	4139
1362	8842	4132
1363	8849	4126
1364	8855	4119
1365	8861	4113
1366	8868	4106
1367	8874	4099
1368	8880	4093
1369	8887	4086
1370	8893	4080
1371	8900	4073
1372	8906	4067
1373	8913	4061
1374	8919	4054
1375	8926	4048
1376	8932	4041
1377	8938	4034
1378	8945	4028
1379	8951	4021
1380	8957	4015
1381	8964	4008
1382	8970	4002
1383	8977	3995
1384	8983	3988
1385	8989	3982
1386	8996	3975
1387	9002	3969
1388	9008	3962
1389	9014	3956
1390	9021	3949
1391	9027	3943
1392	9034	3936
1393	9040	3929
1394	9046	3923
1395	9052	3916
1396	9059	3910
1397	9065	3903
1398	9071	3897
1399	9078	3890
1400	9084	3884
1401	9091	3877
1402	9097	3871
1403	9104	3864
1404	9110	3858
1405	9116	3851
1406	9123	3845
1407	9129	3838
1408	9135	3831
1409	9141	3825
1410	9148	3818
1411	9154	3812
1412	9160	3805
1413	9167	3799
1414	9173	3792
1415	9179	3785
1416	9186	3779
1417	9192	3772
1418	9198	3766
1419	9205	3759
1420	9211	3753
1421	9217	3746
1422	9224	3740
1423	9230	3733
1424	9236	3727
1425	9243	3720
1426	9249	3714
1427	9256	3707
1428	9262	3701
1429	9268	3694
1430	9274	3687
1431	9281	3681
1432	9288	3675
1433	9294	3668
1434	9300	3662
1435	9307	3655
1436	9313	3649
1437	9320	3642
1438	9326	3635
1439	9332	3629
1440	9339	3622
1441	9345	3616
1442	9351	3609
1443	9358	3603
1444	9364	3596
1445	9370	3590
1446	9376	3583
1447	9382	3576
1448	9389	3570
1449	9395	3563
1450	9401	3557
1451	9408	3550
1452	9414	3544
1453	9420	3537
1454	9427	3531
1455	9433	3524
1456	9440	3518
1457	9446	3511
1458	9453	3505
1459	9459	3498
1460	9465	3492
1461	9472	3485
1462	9478	3479
1463	9484	3472
1464	9491	3466
1465	9497	3459
1466	9503	3452
1467	9509	3446
1468	9516	3439
1469	9522	3433
1470	9528	3426
1471	9535	3420
1472	9541	3413
1473	9547	3407
1474	9553	3400
1475	9560	3394
1476	9566	3387
1477	9573	3381
1478	9579	3374
1479	9585	3367
1480	9592	3361
1481	9598	3354
1482	9604	3348
1483	9610	3341
1484	9617	3335
1485	9623	3328
1486	9630	3322
1487	9636	3315
1488	9643	3309
1489	9649	3302
1490	9655	3296
1491	9662	3289
1492	9668	3283
1493	9676	3277
1494	9682	3270
1495	9688	3264
1496	9695	3257
1497	9701	3251
1498	9708	3244
1499	9714	3238
1500	9721	3231
1501	9727	3225
1502	9733	3218
1503	9740	3212
1504	9746	3205
1505	9752	3199
1506	9759	3192
1507	9765	3186
1508	9772	3179
1509	9778	3173
1510	9784	3166
1511	9791	3160
1512	9798	3153
1513	9804	3147
1514	9810	3140
1515	9817	3134
1516	9823	3127
1517	9829	3121
1518	9836	3114
1519	9842	3108
1520	9848	3101
1521	9854	3095
1522	9861	3088
1523	9867	3082
1524	9874	3075
1525	9880	3069
1526	9887	3062
1527	9893	3056
1528	9899	3049
1529	9906	3043
1530	9912	3036
1531	9918	3030
1532	9925	3023
1533	9931	3017
1534	9938	3010
1535	9944	3004
1536	9951	2997
1537	9957	2991
1538	9964	2984
1539	9970	2978
1540	9976	2971
1541	9982	2965
1542	9989	2958
1543	9995	2952
1544	10002	2945
1545	10008	2939
1546	10014	2932
1547	10020	2926
1548	10027	2919
1549	10034	2913
1550	10040	2906
1551	10046	2900
1552	10052	2893
1553	10058	2886
1554	10065	2880
1555	10071	2873
1556	10077	2867
1557	10084	2860
1558	10090	2854
1559	10096	2847
1560	10103	2841
1561	10109	2834
1562	10115	2828
1563	10122	2821
1564	10128	2815
1565	10135	2808
1566	10141	2802
1567	10147	2795
1568	10154	2789
1569	10160	2782
1570	10166	2776
1571	10173	2769
1572	10180	2763
1573	10186	2756
1574	10192	2750
1575	10198	2743
1576	10205	2737
1577	10211	2730
1578	10217	2724
1579	10223	2717
1580	10229	2711
1581	10236	2704
1582	10242	2698
1583	10248	2691
1584	10255	2685
1585	10261	2678
1586	10267	2672
1587	10274	2665
1588	10280	2659
1589	10286	2652
1590	10293	2646
1591	10299	2639
1592	10305	2633
1593	10311	2626
1594	10318	2620
1595	10324	2613
1596	10330	2606
1597	10336	2600
1598	10343	2593
1599	10349	2587
1600	10356	2580
1601	10362	2574
1602	10368	2567
1603	10374	2561
1604	10381	2554
1605	10388	2548
1606	10394	2542
1607	10401	2535
1608	10407	2529
1609	10414	2522
1610	10420	2516
1611	10426	2509
1612	10432	2503
1613	10439	2496
1614	10445	2490
1615	10451	2483
1616	10458	2477
1617	10464	2470
1618	10470	2464
1619	10477	2457
1620	10483	2451
1621	10490	2444
1622	10496	2438
1623	10503	2431
1624	10509	2425
1625	10515	2418
1626	10522	2412
1627	10528	2405
1628	10534	2399
1629	10541	2392
1630	10547	2386
1631	10553	2379
1632	10560	2373
1633	10566	2366
1634	10573	2360
1635	10579	2353
1636	10586	2347
1637	10592	2341
1638	10598	2334
1639	10605	2328
1640	10611	2321
1641	10618	2315
1642	10624	2308
1643	10631	2302
1644	10637	2295
1645	10643	2289
1646	10650	2282
1647	10656	2276
1648	10662	2269
1649	10669	2263
1650	10675	2256
1651	10682	2250
1652	10688	2243
1653	10694	2237
1654	10700	2230
1655	10707	2224
1656	10713	2217
1657	10719	2211
1658	10726	2204
1659	10732	2198
1660	10738	2191
1661	10745	2185
1662	10751	2178
1663	10757	2172
1664	10764	2165
1665	10770	2159
1666	10776	2152
1667	10783	2146
1668	10789	2139
1669	10796	2133
1670	10802	2126
1671	10808	2120
1672	10815	2113
1673	10821	2107
1674	10827	2100
1675	10834	2094
1676	10840	2087
1677	10846	2081
